[PhishGuard] Addon initialized - ML ANALYZER MODE
[Analyzer] https://beacons.gcp.gvt2.com/domainreliability/upload: score=0.145, risk=low
[Decision] LOW RISK, allowing: beacons.gcp.gvt2.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: www.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: www.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: accounts.google.com
[Analyzer] https://e2c44.gcp.gvt2.com/nel/: score=0.051, risk=low
[Decision] LOW RISK, allowing: e2c44.gcp.gvt2.com
[FastPath] SAFE domain (whitelist), allowing: clients4.google.com
[FastPath] SAFE domain (whitelist), allowing: kidsmanagement-pa.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clients4.google.com
[FastPath] SAFE domain (whitelist), allowing: clients4.google.com
[Analyzer] https://beacons.gvt2.com/domainreliability/upload: score=0.145, risk=low
[Decision] LOW RISK, allowing: beacons.gvt2.com
[FastPath] SAFE domain (whitelist), allowing: update.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: android.clients.google.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=pa: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=pay: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[FastPath] SAFE domain (whitelist), allowing: optimizationguide-pa.googleapis.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=payp: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=paypa: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=paypaI: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=paypaI.: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=paypaI.c: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=paypaI.co: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] https://in.search.yahoo.com/sugg/gossip/gossip-in-partner?output=fxjson&appid=mca&source=yahoo_mcafee_searchassist&command=paypaI.com: score=0.125, risk=low
[Decision] LOW RISK, allowing: in.search.yahoo.com
[Analyzer] http://paypai.com/: score=0.950, risk=high
[Decision] HIGH RISK detected, showing popup: paypai.com
[BlockPage] Loaded custom blocked page for: paypai.com
[Analyzer] http://paypai.com/favicon.ico: score=0.950, risk=high
[Decision] HIGH RISK detected, showing popup: paypai.com
[BlockPage] Loaded custom blocked page for: paypai.com
[FastPath] SAFE domain (whitelist), allowing: android.clients.google.com
[FastPath] SAFE domain (whitelist), allowing: clients4.google.com
[FastPath] SAFE domain (whitelist), allowing: clients4.google.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: update.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: android.clients.google.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: clientservices.googleapis.com
[FastPath] SAFE domain (whitelist), allowing: android.clients.google.com
